target,model,accuracy,precision,recall,f1,roc_auc
target_1d,Baseline_AlwaysUp,0.5406269993602048,0.5406269993602048,1.0,0.7018272425249169,0.5
target_1d,Baseline_Momentum,0.48112603966730644,0.5200945626477541,0.5207100591715976,0.5204021289178001,0.4776252245718713
target_7d,Baseline_AlwaysUp,0.6071657069737684,0.6071657069737684,1.0,0.7555732484076433,0.5
target_7d,Baseline_Momentum,0.49392194497760716,0.5933806146572104,0.5289778714436248,0.5593314763231197,0.4843586425622033
target_30d,Baseline_AlwaysUp,0.6813819577735125,0.6813819577735125,1.0,0.8105022831050228,0.5
target_30d,Baseline_Momentum,0.5079974408189379,0.6749408983451537,0.536150234741784,0.597592883307169,0.4919706997002093
target_1d,LogisticRegression,0.5431861804222649,0.5422308188265635,0.9952662721893492,0.7020033388981636,0.5094493250482108
target_1d,RandomForest,0.525911708253359,0.543117744610282,0.7751479289940828,0.6387128230131643,0.5077944981951839
target_1d,HistGradientBoosting,0.5361484325015995,0.5444444444444444,0.8698224852071006,0.6697038724373576,0.5083573700779614
target_1d,XGBoost,0.5323096609085093,0.5436447166921899,0.8402366863905325,0.6601580660158066,0.5172495920621055
target_1d,LightGBM,0.54638515674984,0.5494186046511628,0.8946745562130177,0.6807744259342638,0.5124820754561488
target_1d,KNN,0.5156749840051184,0.5551378446115288,0.5242603550295858,0.5392574558734023,0.5122570915264294
target_1d,NeuralNetwork,0.527191298784389,0.5499058380414312,0.6911242603550296,0.6124803356056634,0.5235153532989402
target_7d,LogisticRegression,0.6071657069737684,0.6071657069737684,1.0,0.7555732484076433,0.4848923777128677
target_7d,RandomForest,0.5937300063979527,0.622848200312989,0.8387776606954689,0.714863044454423,0.521692644065586
target_7d,HistGradientBoosting,0.599488163787588,0.6120749479528106,0.9293993677555321,0.7380753138075313,0.5229111391040802
target_7d,XGBoost,0.6122840690978887,0.6198462613556953,0.934668071654373,0.7453781512605042,0.5135759225380393
target_7d,LightGBM,0.6058861164427384,0.6125760649087221,0.9546891464699684,0.7462932454695222,0.5119506904233155
target_7d,KNN,0.5489443378119002,0.6193737769080235,0.667017913593256,0.6423135464231354,0.5022010139251673
target_7d,NeuralNetwork,0.5758157389635317,0.61,0.8356164383561644,0.7052023121387283,0.5138616682055172
target_30d,LogisticRegression,0.6813819577735125,0.6813819577735125,1.0,0.8105022831050228,0.5068273092369477
target_30d,RandomForest,0.6039667306461932,0.6731366459627329,0.8140845070422535,0.7369315767105822,0.5078134132775232
target_30d,HistGradientBoosting,0.653230966090851,0.6746826987307949,0.9483568075117371,0.7884465261514442,0.4987112770330147
target_30d,XGBoost,0.6513115802943058,0.6778385772913816,0.9305164319248826,0.7843292441630392,0.5023964402209778
target_30d,LightGBM,0.6493921944977608,0.6719893546240852,0.9483568075117371,0.7866043613707165,0.5164913173822049
target_30d,KNN,0.6058861164427384,0.6907391673746814,0.7633802816901408,0.7252453166815344,0.5368686011652244
target_30d,NeuralNetwork,0.6142034548944337,0.6757990867579908,0.8338028169014085,0.7465321563682219,0.4850613722495616
